uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,CONSEC,P7_4_2,P7_4_3,P7_5,P7_6,P7_7,P7_8,P7_8A,P7_8B,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
1998_5_1,1998_5,1998,5,1,1,1,NA,6,1,2,NA,2,NA,8,1,121,1998,925
2062_5_1,2062_5,2062,5,1,1,1,NA,4,1,1,90000,2,NA,8,1,117,2062,860
2077_4_1,2077_4,2077,4,1,1,2,NA,2,1,2,NA,2,NA,8,1,118,2077,739
2077_4_1,2077_4,2077,4,1,2,2,NA,2,1,2,NA,2,NA,8,1,118,2077,739
2086_3_1,2086_3,2086,3,1,1,2,NA,5,1,1,10000,2,NA,8,1,116,2086,703
2088_5_1,2088_5,2088,5,1,1,1,NA,7,1,2,NA,1,15000,8,1,117,2088,612
2129_3_1,2129_3,2129,3,1,1,1,NA,3,1,1,15000,1,10000,8,1,117,2129,753
2145_4_1,2145_4,2145,4,1,1,1,NA,4,1,2,NA,2,NA,8,1,117,2145,666
2216_4_1,2216_4,2216,4,1,1,1,NA,8,1,2,NA,1,90000,8,1,120,2216,523
2251_4_1,2251_4,2251,4,1,1,3,NA,6,1,2,NA,2,NA,9,1,137,2251,2326
2251_5_1,2251_5,2251,5,1,1,2,NA,4,1,2,NA,2,NA,9,1,137,2251,2326
2268_1_1,2268_1,2268,1,1,1,1,NA,6,2,2,NA,2,NA,9,1,137,2268,1649
2327_1_1,2327_1,2327,1,1,1,1,NA,4,1,2,NA,2,NA,9,1,137,2327,1914
2436_2_1,2436_2,2436,2,1,1,2,NA,2,3,2,NA,2,NA,9,1,135,2436,1670
2446_3_1,2446_3,2446,3,1,1,2,NA,3,3,1,20000,2,NA,9,1,136,2446,2104
2462_1_1,2462_1,2462,1,1,1,1,NA,4,3,2,NA,2,NA,9,1,137,2462,2470
2624_5_1,2624_5,2624,5,1,1,1,NA,5,1,1,30000,2,NA,10,1,144,2624,343
2629_5_1,2629_5,2629,5,1,1,1,NA,3,3,1,200000,1,50000,10,1,144,2629,349
2638_1_1,2638_1,2638,1,1,1,4,NA,3,5,2,NA,2,NA,10,1,144,2638,729
2667_2_1,2667_2,2667,2,1,1,1,NA,5,1,2,NA,2,NA,10,1,143,2667,282
2688_2_1,2688_2,2688,2,1,1,1,NA,4,3,1,10000,1,10000,10,1,143,2688,298
2726_2_1,2726_2,2726,2,1,1,1,NA,6,1,2,NA,2,NA,10,1,144,2726,379
2737_2_1,2737_2,2737,2,1,1,1,NA,2,1,2,NA,2,NA,10,1,142,2737,282
2759_2_1,2759_2,2759,2,1,1,2,NA,3,1,2,NA,2,NA,10,1,146,2759,265
2796_3_1,2796_3,2796,3,1,1,2,NA,4,1,2,NA,2,NA,10,1,146,2796,249
2837_13_1,2837_13,2837,13,1,1,1,2,3,1,2,NA,2,NA,10,3,152,2837,288
2839_5_1,2839_5,2839,5,1,1,1,NA,4,1,2,NA,1,30000,10,3,151,2839,296
2862_4_1,2862_4,2862,4,1,1,1,NA,7,2,2,NA,2,NA,10,4,153,2862,341
2909_4_1,2909_4,2909,4,1,1,2,NA,2,1,1,2012,1,4000,11,1,165,2909,766
2948_2_1,2948_2,2948,2,1,1,1,NA,2,1,2,NA,2,NA,11,1,157,2948,1135
2956_1_1,2956_1,2956,1,1,2,1,NA,3,1,9,NA,2,NA,11,1,158,2956,849
2956_1_1,2956_1,2956,1,1,1,1,NA,4,1,2,NA,1,999999999,11,1,158,2956,849
2970_5_1,2970_5,2970,5,1,1,1,NA,5,1,2,NA,2,NA,11,1,156,2970,816
2970_5_1,2970_5,2970,5,1,2,3,NA,5,3,2,NA,2,NA,11,1,156,2970,816
2972_4_1,2972_4,2972,4,1,1,1,NA,3,1,2,NA,2,NA,11,1,157,2972,837
2973_1_1,2973_1,2973,1,1,1,1,NA,3,1,2,NA,1,23000,11,1,157,2973,836
2998_2_1,2998_2,2998,2,1,1,2,NA,4,1,2,NA,2,NA,11,1,156,2998,970
3038_9_1,3038_9,3038,9,1,1,1,NA,3,2,2,NA,1,5000,11,2,175,3038,638
3038_9_1,3038_9,3038,9,1,2,1,NA,3,2,2,NA,2,NA,11,2,175,3038,638
3043_6_1,3043_6,3043,6,1,1,1,NA,6,1,1,18000,1,4000,11,2,174,3043,809
3043_6_1,3043_6,3043,6,1,2,1,NA,4,3,2,NA,2,NA,11,2,174,3043,809
3046_2_1,3046_2,3046,2,1,1,1,NA,6,1,2,NA,2,NA,11,2,171,3046,952
3046_2_1,3046_2,3046,2,1,2,1,NA,5,1,2,NA,2,NA,11,2,171,3046,952
3069_17_1,3069_17,3069,17,1,1,1,NA,2,3,2,NA,2,NA,11,2,172,3069,817
3075_5_1,3075_5,3075,5,1,1,1,NA,5,1,1,50000,1,30000,11,3,176,3075,922
3080_20_1,3080_20,3080,20,1,1,2,NA,4,1,2,NA,2,NA,11,3,177,3080,1103
3090_11_1,3090_11,3090,11,1,1,1,NA,3,3,2,NA,2,NA,11,4,178,3090,1156
3095_2_1,3095_2,3095,2,1,1,1,NA,2,3,2,NA,2,NA,11,4,179,3095,904
3096_7_1,3096_7,3096,7,1,4,2,NA,3,1,2,NA,2,NA,11,4,178,3096,744
3096_7_1,3096_7,3096,7,1,3,2,NA,2,1,1,3000,2,NA,11,4,178,3096,744
3096_7_1,3096_7,3096,7,1,1,1,NA,4,1,9,NA,2,NA,11,4,178,3096,744
3096_7_1,3096_7,3096,7,1,2,1,NA,3,1,2,NA,2,NA,11,4,178,3096,744
3110_12_1,3110_12,3110,12,1,1,1,NA,3,1,1,5800,2,NA,11,4,179,3110,966
3112_1_1,3112_1,3112,1,1,1,1,NA,3,3,1,60000,2,NA,11,1,165,3112,384
3144_2_1,3144_2,3144,2,1,1,3,NA,2,4,2,NA,2,NA,12,1,181,3144,401
3174_1_1,3174_1,3174,1,1,1,1,NA,4,1,1,15000,1,15000,12,1,181,3174,368
3174_1_1,3174_1,3174,1,1,2,1,NA,6,1,1,15000,1,20000,12,1,181,3174,368
3209_1_1,3209_1,3209,1,1,1,3,NA,5,1,2,NA,1,5000,12,1,181,3209,384
3235_3_1,3235_3,3235,3,1,1,1,NA,5,3,2,NA,2,NA,12,1,186,3235,718
3258_14_1,3258_14,3258,14,1,1,1,NA,4,4,2,NA,2,NA,12,2,192,3258,415
3288_7_1,3288_7,3288,7,1,1,2,NA,2,3,2,NA,2,NA,12,4,197,3288,289
3292_8_1,3292_8,3292,8,1,1,1,NA,3,1,2,NA,2,NA,12,4,197,3292,581
3299_3_1,3299_3,3299,3,1,1,1,NA,2,5,2,NA,2,NA,12,4,197,3299,625
3313_10_1,3313_10,3313,10,1,1,1,NA,1,3,2,NA,2,NA,12,4,197,3313,475
3315_16_1,3315_16,3315,16,1,1,2,NA,4,3,2,NA,2,NA,12,4,197,3315,488
3337_2_1,3337_2,3337,2,1,2,2,NA,4,1,2,NA,2,NA,13,1,199,3337,300
3337_2_1,3337_2,3337,2,1,1,1,NA,3,1,1,400000,2,NA,13,1,199,3337,300
3340_2_1,3340_2,3340,2,1,8,1,NA,5,1,2,NA,1,200000,13,1,199,3340,482
3340_2_1,3340_2,3340,2,1,7,1,NA,5,1,2,NA,1,20000,13,1,199,3340,482
3340_2_1,3340_2,3340,2,1,6,1,NA,5,1,2,NA,1,20000,13,1,199,3340,482
3340_2_1,3340_2,3340,2,1,4,1,NA,5,1,2,NA,1,20000,13,1,199,3340,482
3340_2_1,3340_2,3340,2,1,5,1,NA,5,1,2,NA,1,20000,13,1,199,3340,482
3340_2_1,3340_2,3340,2,1,9,1,NA,5,1,2,NA,1,20000,13,1,199,3340,482
3340_2_1,3340_2,3340,2,1,3,1,NA,4,1,2,NA,1,15000,13,1,199,3340,482
3340_2_1,3340_2,3340,2,1,1,1,NA,5,1,2,NA,1,20000,13,1,199,3340,482
3340_2_1,3340_2,3340,2,1,2,1,NA,6,1,2,NA,2,NA,13,1,199,3340,482
3341_4_1,3341_4,3341,4,1,1,1,NA,5,1,2,NA,2,NA,13,1,200,3341,650
3407_1_1,3407_1,3407,1,1,1,1,NA,4,1,2,NA,2,NA,13,3,211,3407,615
3413_3_1,3413_3,3413,3,1,1,1,NA,4,1,2,NA,2,NA,13,3,210,3413,402
3431_7_1,3431_7,3431,7,1,1,1,NA,4,3,2,NA,2,NA,13,3,210,3431,549
3434_4_1,3434_4,3434,4,1,1,1,NA,4,1,1,60000,2,NA,13,3,210,3434,470
3434_7_1,3434_7,3434,7,1,1,1,NA,5,3,2,NA,2,NA,13,3,210,3434,470
3436_4_1,3436_4,3436,4,1,1,1,NA,2,1,2,NA,2,NA,13,3,210,3436,451
3439_2_1,3439_2,3439,2,1,1,1,NA,5,4,2,NA,2,NA,13,4,205,3439,376
3475_12_1,3475_12,3475,12,1,1,1,NA,3,1,2,NA,2,NA,13,4,212,3475,435
3506_3_1,3506_3,3506,3,1,1,1,NA,4,1,2,NA,2,NA,13,3,210,3506,1662
3506_3_1,3506_3,3506,3,1,2,1,NA,4,1,2,NA,2,NA,13,3,210,3506,1662
3558_1_1,3558_1,3558,1,1,1,1,NA,5,1,2,NA,2,NA,14,1,215,3558,1239
3571_3_1,3571_3,3571,3,1,1,2,NA,3,2,1,150000,1,30000,14,1,215,3571,1410
3592_1_1,3592_1,3592,1,1,2,2,NA,6,1,2,NA,2,NA,14,1,214,3592,1033
3592_1_1,3592_1,3592,1,1,1,2,NA,3,1,2,NA,2,NA,14,1,214,3592,1033
3612_2_1,3612_2,3612,2,1,1,1,NA,3,1,2,NA,2,NA,14,1,216,3612,1469
3647_1_1,3647_1,3647,1,1,2,3,NA,4,1,2,NA,1,5000,14,1,215,3647,1188
3647_1_1,3647_1,3647,1,1,1,1,NA,3,1,1,50000,2,NA,14,1,215,3647,1188
3669_3_1,3669_3,3669,3,1,1,3,NA,5,3,1,50000,2,NA,14,1,216,3669,1923
3698_4_1,3698_4,3698,4,1,2,1,NA,3,1,2,NA,2,NA,14,1,214,3698,1390
3698_4_1,3698_4,3698,4,1,1,1,NA,5,1,2,NA,2,NA,14,1,214,3698,1390
3705_12_1,3705_12,3705,12,1,1,1,NA,5,3,2,NA,2,NA,14,2,224,3705,1170
3707_11_1,3707_11,3707,11,1,1,1,NA,4,1,2,NA,2,NA,14,2,222,3707,1564
3714_11_1,3714_11,3714,11,1,1,2,NA,2,1,1,1500,1,1500,14,2,224,3714,1154
3720_7_1,3720_7,3720,7,1,1,1,NA,2,3,2,NA,2,NA,14,2,223,3720,1065
3734_19_1,3734_19,3734,19,1,1,8,NA,2,4,2,NA,1,200000,14,3,226,3734,1085
3736_8_1,3736_8,3736,8,1,1,2,NA,5,1,1,30000,2,NA,14,3,228,3736,1117
3742_18_1,3742_18,3742,18,1,1,2,NA,8,1,2,NA,1,0,14,3,226,3742,1020
3753_2_1,3753_2,3753,2,1,1,2,NA,2,1,2,NA,2,NA,14,4,230,3753,2065
3773_1_1,3773_1,3773,1,1,1,3,NA,7,4,1,100000,1,100000,14,3,228,3773,4193
3824_2_1,3824_2,3824,2,1,1,1,NA,4,1,2,NA,2,NA,15,1,232,3824,2502
3834_4_1,3834_4,3834,4,1,1,1,NA,5,1,2,NA,2,NA,15,1,233,3834,2601
3992_1_1,3992_1,3992,1,1,2,1,NA,3,3,2,NA,2,NA,15,1,234,3992,5003
3992_1_1,3992_1,3992,1,1,1,2,NA,3,3,2,NA,2,NA,15,1,234,3992,5003
4029_1_1,4029_1,4029,1,1,1,1,NA,7,1,2,NA,2,NA,15,2,242,4029,4815
4029_1_1,4029_1,4029,1,1,2,1,NA,4,3,2,NA,2,NA,15,2,242,4029,4815
4059_1_3,4059_1,4059,1,3,1,1,NA,3,1,2,NA,2,NA,15,3,238,4059,1276
4109_3_1,4109_3,4109,3,1,1,1,NA,4,1,2,NA,2,NA,16,1,252,4109,684
4115_1_1,4115_1,4115,1,1,1,1,NA,4,1,1,30000,2,NA,16,1,252,4115,661
4117_1_1,4117_1,4117,1,1,1,4,NA,8,3,2,NA,2,NA,16,1,251,4117,459
4117_1_1,4117_1,4117,1,1,2,1,NA,3,1,2,NA,2,NA,16,1,251,4117,459
4123_3_1,4123_3,4123,3,1,1,1,NA,8,5,1,200000,2,NA,16,1,252,4123,629
4123_3_1,4123_3,4123,3,1,2,1,NA,4,1,2,NA,2,NA,16,1,252,4123,629
4124_4_1,4124_4,4124,4,1,1,2,NA,3,1,2,NA,2,NA,16,1,252,4124,633
4127_5_1,4127_5,4127,5,1,1,2,NA,5,3,2,NA,2,NA,16,1,252,4127,642
4129_1_1,4129_1,4129,1,1,1,1,NA,3,1,2,NA,2,NA,16,1,252,4129,541
4143_4_1,4143_4,4143,4,1,1,1,NA,3,2,1,10000,1,2000,16,1,252,4143,529
4163_1_1,4163_1,4163,1,1,1,2,NA,3,5,2,NA,2,NA,16,1,256,4163,840
4163_1_1,4163_1,4163,1,1,2,3,NA,4,5,2,NA,2,NA,16,1,256,4163,840
4206_6_1,4206_6,4206,6,1,1,1,NA,3,2,2,NA,2,NA,16,2,260,4206,1000
4208_10_1,4208_10,4208,10,1,1,1,NA,4,3,2,NA,1,50000,16,2,262,4208,872
4210_4_1,4210_4,4210,4,1,1,1,NA,6,1,1,20000,2,NA,16,2,260,4210,972
4210_14_1,4210_14,4210,14,1,1,2,3,4,3,2,NA,2,NA,16,2,260,4210,972
4213_4_1,4213_4,4213,4,1,1,1,NA,6,1,2,NA,2,NA,16,2,261,4213,847
4214_8_1,4214_8,4214,8,1,1,9,NA,2,3,2,NA,2,NA,16,2,260,4214,536
4245_11_1,4245_11,4245,11,1,1,1,NA,1,3,2,NA,2,NA,16,4,268,4245,1316
4291_2_1,4291_2,4291,2,1,1,1,NA,3,1,2,NA,2,NA,16,1,258,4291,2163
4300_4_1,4300_4,4300,4,1,1,1,NA,5,1,2,NA,1,999999888,17,1,279,4300,374
4304_3_1,4304_3,4304,3,1,1,1,NA,5,1,1,10000,2,NA,17,1,278,4304,240
4307_3_1,4307_3,4307,3,1,1,2,NA,6,1,1,800000,2,NA,17,1,279,4307,247
4330_5_1,4330_5,4330,5,1,1,1,NA,10,1,2,NA,1,5000,17,1,271,4330,231
4342_2_1,4342_2,4342,2,1,2,1,NA,3,1,2,NA,2,NA,17,1,270,4342,227
4342_2_1,4342_2,4342,2,1,1,1,NA,3,1,2,NA,2,NA,17,1,270,4342,227
4349_1_1,4349_1,4349,1,1,1,3,NA,99,3,1,999999999,2,NA,17,1,270,4349,335
4379_3_1,4379_3,4379,3,1,1,1,NA,4,1,2,NA,2,NA,17,1,271,4379,482
4379_3_1,4379_3,4379,3,1,2,1,NA,2,1,2,NA,2,NA,17,1,271,4379,482
4425_5_1,4425_5,4425,5,1,1,2,1,6,2,2,NA,2,NA,17,1,271,4425,320
4450_20_1,4450_20,4450,20,1,1,2,NA,3,3,2,NA,2,NA,17,2,281,4450,460
4475_13_1,4475_13,4475,13,1,1,1,NA,5,3,1,45000,2,NA,17,2,281,4475,458
4484_5_1,4484_5,4484,5,1,1,1,NA,4,1,2,NA,2,NA,17,3,280,4484,374
4495_1_1,4495_1,4495,1,1,2,1,NA,3,3,2,NA,2,NA,17,3,275,4495,337
4495_1_1,4495_1,4495,1,1,3,1,NA,2,3,2,NA,2,NA,17,3,275,4495,337
4495_1_1,4495_1,4495,1,1,1,1,NA,3,3,2,NA,2,NA,17,3,275,4495,337
4497_1_1,4497_1,4497,1,1,1,1,NA,5,1,2,NA,2,NA,17,3,275,4497,363
4505_2_1,4505_2,4505,2,1,2,1,NA,5,1,2,NA,2,NA,17,3,285,4505,208
4505_2_1,4505_2,4505,2,1,1,1,NA,5,1,2,NA,2,NA,17,3,285,4505,208
4508_5_1,4508_5,4508,5,1,1,3,NA,4,1,2,NA,2,NA,17,3,276,4508,231
4509_4_1,4509_4,4509,4,1,1,1,NA,3,3,2,NA,2,NA,17,3,283,4509,672
4529_1_1,4529_1,4529,1,1,1,1,NA,1,5,2,NA,2,NA,17,4,287,4529,467
4532_18_1,4532_18,4532,18,1,1,1,NA,9,1,1,60000,2,NA,17,4,287,4532,951
4542_1_1,4542_1,4542,1,1,1,1,NA,7,1,1,9000,2,NA,17,1,279,4542,121
4542_8_1,4542_8,4542,8,1,1,1,NA,3,2,2,NA,2,NA,17,1,279,4542,121
4554_4_1,4554_4,4554,4,1,1,2,NA,2,1,1,1000,1,1000,18,1,288,4554,189
4554_4_1,4554_4,4554,4,1,2,2,NA,2,1,1,1000,1,1000,18,1,288,4554,189
4554_4_1,4554_4,4554,4,1,5,2,NA,1,1,2,NA,2,NA,18,1,288,4554,189
4554_4_1,4554_4,4554,4,1,4,2,NA,2,1,2,NA,2,NA,18,1,288,4554,189
4554_4_1,4554_4,4554,4,1,3,2,NA,2,1,2,NA,2,NA,18,1,288,4554,189
4568_4_1,4568_4,4568,4,1,2,1,NA,5,1,1,40000,2,NA,18,1,289,4568,140
4568_4_1,4568_4,4568,4,1,1,2,NA,5,1,2,NA,2,NA,18,1,289,4568,140
4579_3_1,4579_3,4579,3,1,1,2,NA,5,1,2,NA,2,NA,18,1,288,4579,166
4580_5_1,4580_5,4580,5,1,1,2,1,8,1,1,50000,2,NA,18,1,290,4580,182
4580_5_1,4580_5,4580,5,1,2,2,1,3,2,2,NA,2,NA,18,1,290,4580,182
4580_5_1,4580_5,4580,5,1,3,2,1,4,1,2,NA,2,NA,18,1,290,4580,182
4583_2_1,4583_2,4583,2,1,1,1,NA,4,1,1,5000,2,NA,18,1,290,4583,195
4583_2_1,4583_2,4583,2,1,3,1,NA,4,1,1,5000,1,5000,18,1,290,4583,195
4583_2_1,4583_2,4583,2,1,2,1,NA,4,1,1,5000,1,20000,18,1,290,4583,195
4586_3_1,4586_3,4586,3,1,1,1,NA,4,1,1,9000,2,NA,18,1,289,4586,167
4587_5_1,4587_5,4587,5,1,1,1,NA,2,1,2,NA,2,NA,18,1,289,4587,199
4602_2_1,4602_2,4602,2,1,1,1,NA,3,1,1,20000,2,NA,18,1,288,4602,215
4623_2_1,4623_2,4623,2,1,1,1,NA,4,1,2,NA,2,NA,18,1,289,4623,189
4623_2_1,4623_2,4623,2,1,2,1,NA,4,3,2,NA,2,NA,18,1,289,4623,189
4624_3_1,4624_3,4624,3,1,1,1,NA,3,1,2,NA,2,NA,18,1,289,4624,170
4625_1_1,4625_1,4625,1,1,1,1,NA,6,1,1,25000,2,NA,18,1,289,4625,173
4638_5_1,4638_5,4638,5,1,1,1,NA,3,2,1,6000,1,6000,18,1,290,4638,183
4655_2_1,4655_2,4655,2,1,1,1,NA,5,1,1,35000,1,11000,18,1,289,4655,156
4655_2_1,4655_2,4655,2,1,2,2,NA,4,3,2,NA,2,NA,18,1,289,4655,156
4658_5_1,4658_5,4658,5,1,1,1,NA,5,1,2,NA,2,NA,18,1,290,4658,165
4688_5_1,4688_5,4688,5,1,1,1,NA,5,3,2,NA,2,NA,18,2,292,4688,346
4692_10_1,4692_10,4692,10,1,1,1,NA,3,1,2,NA,2,NA,18,2,293,4692,148
4692_13_1,4692_13,4692,13,1,1,1,NA,2,1,2,NA,1,24000,18,2,293,4692,148
4702_10_1,4702_10,4702,10,1,1,1,NA,5,5,1,30000,2,NA,18,3,295,4702,209
4708_8_1,4708_8,4708,8,1,1,1,NA,3,1,2,NA,2,NA,18,3,295,4708,210
4715_16_1,4715_16,4715,16,1,5,1,NA,1,1,2,NA,2,NA,18,3,296,4715,185
4715_16_1,4715_16,4715,16,1,1,1,NA,1,1,2,NA,2,NA,18,3,296,4715,185
4715_16_1,4715_16,4715,16,1,2,1,NA,1,3,2,NA,2,NA,18,3,296,4715,185
4715_16_1,4715_16,4715,16,1,3,1,NA,1,3,2,NA,2,NA,18,3,296,4715,185
4715_16_1,4715_16,4715,16,1,7,1,NA,1,1,2,NA,2,NA,18,3,296,4715,185
4715_16_1,4715_16,4715,16,1,6,1,NA,1,1,2,NA,2,NA,18,3,296,4715,185
4715_16_1,4715_16,4715,16,1,4,1,NA,1,3,2,NA,2,NA,18,3,296,4715,185
4717_10_1,4717_10,4717,10,1,1,1,NA,2,1,2,NA,2,NA,18,3,295,4717,175
4778_4_1,4778_4,4778,4,1,1,1,NA,4,3,2,NA,2,NA,19,1,300,4778,744
4779_5_1,4779_5,4779,5,1,1,3,NA,3,1,2,NA,2,NA,19,1,300,4779,755
4780_4_1,4780_4,4780,4,1,1,3,NA,4,1,1,999999999,1,999999999,19,1,300,4780,713
4783_2_1,4783_2,4783,2,1,1,1,NA,4,3,1,15000,1,15000,19,1,301,4783,786
4783_4_1,4783_4,4783,4,1,1,1,2,5,5,2,NA,2,NA,19,1,301,4783,786
4785_2_1,4785_2,4785,2,1,1,2,NA,5,1,2,NA,1,3000,19,1,301,4785,745
4785_5_1,4785_5,4785,5,1,1,1,NA,6,1,2,NA,2,NA,19,1,301,4785,745
4797_3_1,4797_3,4797,3,1,1,1,NA,4,1,2,NA,2,NA,19,1,301,4797,785
4808_3_1,4808_3,4808,3,1,1,1,NA,3,1,2,NA,2,NA,19,1,301,4808,805
4820_5_1,4820_5,4820,5,1,1,4,NA,4,1,2,NA,2,NA,19,1,300,4820,639
4867_4_1,4867_4,4867,4,1,1,1,NA,3,1,2,NA,2,NA,19,1,301,4867,829
4902_2_1,4902_2,4902,2,1,1,1,NA,4,1,2,NA,2,NA,19,1,302,4902,1089
4921_3_1,4921_3,4921,3,1,2,2,NA,2,3,2,NA,1,40000,19,1,300,4921,855
4921_3_1,4921_3,4921,3,1,1,3,NA,2,1,2,NA,2,NA,19,1,300,4921,855
5006_3_1,5006_3,5006,3,1,1,1,NA,5,1,2,NA,2,NA,19,1,302,5006,872
5012_1_1,5012_1,5012,1,1,1,2,NA,2,1,2,NA,2,NA,19,1,302,5012,866
5018_3_1,5018_3,5018,3,1,1,3,NA,2,3,2,NA,2,NA,19,1,301,5018,790
5039_4_1,5039_4,5039,4,1,1,1,NA,1,1,2,NA,2,NA,19,1,300,5039,876
5042_4_1,5042_4,5042,4,1,1,3,NA,4,1,2,NA,2,NA,19,1,301,5042,784
5044_5_1,5044_5,5044,5,1,1,1,NA,4,1,2,NA,2,NA,19,1,301,5044,794
5051_5_1,5051_5,5051,5,1,1,1,NA,2,1,2,NA,2,NA,19,1,302,5051,951
5070_7_1,5070_7,5070,7,1,1,1,NA,3,1,2,NA,2,NA,19,2,308,5070,1010
5070_9_1,5070_9,5070,9,1,1,1,NA,3,4,2,NA,2,NA,19,2,308,5070,1010
5071_8_1,5071_8,5071,8,1,2,2,NA,1,5,2,NA,2,NA,19,2,308,5071,898
5071_8_1,5071_8,5071,8,1,1,1,NA,4,1,1,15000,2,NA,19,2,308,5071,898
5083_6_1,5083_6,5083,6,1,1,1,NA,3,3,2,NA,2,NA,19,3,310,5083,824
